codice,descrizione,quantita,
3100101-Y01,Pneumatico (155/65-R14),4,MY23 MY22 MY22.5
3100106-Y01,"Cerchio acciaio 14""",4,MY23 MY22 MY22.5
3100102-Y01,Valvola gonfiaggio,1,MY23 MY22 MY22.5
3106107Y0240,Dado ruota (cerchio acciaio),16,MY23 MY22 MY22.5 MY24
5306163Y0210,"Etichetta pneumatico - 14""",1,MY23
3100104-Y01,Copricerchio,4,MY23 MY22 MY22.5 MY24
3100120-Y01,Assieme copricerchio cerchio acciaio,4,MY23 MY22 MY22.5
3400101-Y01,Assieme scatola guida con tirante,1,MY23 MY22 MY22.5
3400101Y0210A,Assieme scatola guida con tirante,1,MY23
3400101Y0210B,Assieme scatola guida con tirante,1,MY23
3400111-Y01,Corpo scatola guida con tirante interno,1,MY23 MY22 MY22.5
3400118-Y01,Staffa fissaggio,1,MY23 MY22 MY22.5
3400113-Y01,Testina sterzo,2,MY23 MY22 MY22.5
3400102-Y01,Assieme albero sterzo inferiore,1,MY23 MY22 MY22.5
3400102Y0210,Assieme albero sterzo inferiore,1,MY23
3400103-Y01,Assieme colonna sterzo,1,MY23 MY22 MY22.5
3400103Y0210,Assieme colonna sterzo,1,MY23
3400134-Y01,Corpo volante,1,MY23 MY22 MY22.5
S18608009,Bullone esagonale con flangia,2,MY23 MY22 MY22.5 MY24
S18608005,Bullone esagonale con flangia,1,MY23 MY22 MY22.5
Q1860870TF36Y,Dado esagonale con flangia,1,MY23
S38312001,Dado scanalato esagonale tipo 2,2,MY23 MY22 MY22.5
S50032001,Spina elastica,2,MY23 MY22 MY22.5
S18510004,Bullone esagonale con flangia,2,MY23
S18512002,Bullone esagonale con flangia,2,MY23 MY24
3400135-Y01,Copertura clacson,1,MY23 MY22 MY22.5
3400123-Y01,Colonna sterzo meccanica,1,MY23 MY22 MY22.5
3400124-Y01,Giunto cardanico colonna sterzo,1,MY23 MY22 MY22.5
3400125-Y01,Dado esagonale in metallo a coppia prevalente con flangia,1,MY23 MY22 MY22.5
3400126-Y01,Bullone testa esagonale,3,MY23 MY22 MY22.5
3400132-Y01,Asse sterzo inferiore,1,MY23 MY22 MY22.5
3400108-Y01,Protezione albero sterzo inferiore,1,MY23 MY22 MY22.5
3400108Y0210,Protezione albero sterzo inferiore,1,MY23 MY24
3400104-Y01,Assieme volante,1,MY23 MY22 MY22.5
3400106-Y01,Colonna sterzo elettrica (EPS),1,MY23
3400106Y0210,Colonna sterzo elettrica (EPS),1,MY23 MY24
3400141-Y01,Dado esagonale in metallo a coppia prevalente con flangia,1,MY23
3400142-Y01,Giunto cardanico colonna sterzo,1,MY23
3400143-Y01,Bullone testa esagonale,2,MY23
3400144-Y01,Staffa controller,1,MY23
3400145-Y01,Controller,1,MY23
Q146B0612,Bullone testa esagonale con rondella elastica e rondella piana,2,MY23
3400146-Y01,Motore,1,MY23
3400147-Y01,Bullone esagonale con flangia,2,MY23
3400148-Y01,Corpo colonna sterzo elettrica,1,MY23
S18606003,Bullone esagonale con flangia,2,MY23 MY22 MY22.5 MY24
3508101-Y01,Pedale freno di stazionamento,1,MY23 MY22 MY22.5
S32008001,Dado esagonale con flangia,3,MY23 MY22 MY22.5
3508102Y0210,Cavo freno stazionamento sezione anteriore,1,MY23
3508103Y0210,Cavo freno stazionamento sinistro,1,MY23
3508104Y0210,Cavo freno stazionamento destro,1,MY23
3506048Y0210,Anello ritegno molla cavo freno,1,MY23
S50108001,Spina bloccaggio,1,MY23 MY22 MY22.5 MY24
S18406003,Bullone esagonale con flangia,3,MY23 MY22 MY22.5
3540103Y0211,Pompa vuoto elettronica,1,MY23 MY24
3540104Y0211,Tubo sfiato pompa vuoto elettronica,1,MY23
Q402B06,Guarnizione,2,MY23 MY22 MY22.5
3540102Y0211,Serbatoio vuoto,1,MY23 MY24
3540108Y0211,Staffa serbatoio vuoto,1,MY23
Q1840645,Bullone esagonale con flangia,4,MY23
3540106Y0210,Sensore vuoto,1,MY23 MY24
3540105Y0210,Tubo vuoto,1,MY23
3540101Y0210,Servofreno,1,MY23 MY24
S51008001,Perno asse,1,MY23 MY22 MY24
3504101Y0205,Assieme pedale freno,1,MY23
Q1840820,Bullone esagonale con flangia,2,MY23 MY22 MY22.5
3506101Y0210,Tubo cilindro maestro ? ABS (1ª camera),1,MY23
3506102Y0210,Tubo cilindro maestro ? ABS (2ª camera),1,MY23
3506109Y0210,Tubo freno anteriore sinistro,1,MY23
3506111Y0210,Tubo freno anteriore destro,1,MY23
3506115Y0210,Tubo freno posteriore sinistro sezione anteriore,1,MY23
3506114Y0210,Tubo freno posteriore destro sezione anteriore,1,MY23
3506122Y0210,Tubo freno posteriore sinistro sezione posteriore,1,MY23
3506121Y0210,Tubo freno posteriore destro sezione posteriore,1,MY23
3506113Y0210,Clip tubo doppio foro,4,MY23 MY22 MY22.5
3506116Y0210,Clip tubo foro singolo,4,MY23 MY22 MY22.5
3550300-Y01,Sensore velocità ruota anteriore,2,MY23 MY22 MY22.5
3550302-Y01,Staffa sensore velocità ruota anteriore,2,MY23 MY22 MY22.5
S32006003,Dado esagonale con flangia,2,MY23 MY22 MY22.5 MY24
3550400-Y01,Sensore velocità ruota posteriore,2,MY23 MY22 MY22.5
3506104Y0210,Tubo freno anteriore,2,MY23
3506112Y0210,Tubo freno posteriore,2,MY23
3506106Y0210,Bulloni punzonati,4,MY23 MY24
3506107Y0210,Rondella tenuta,8,MY23 MY24
3506105Y0210,Anello ritegno tubo freno,4,MY23 MY24
3550101-Y01,Controller ABS,1,MY23 MY22 MY22.5
3550111-Y01,Boccola montaggio controller ABS,1,MY23 MY22 MY22.5
3926010-Y01,Triangoli emergenza,1,MY23 MY22 MY22.5 MY24
3926020-Y01,Gilet riflettente,1,MY23 MY24
2101020Y0210,Modulo batteria di potenza,3,MY23 MY24
2101024Y0210,Piastra copertura modulo 1,1,MY23 MY24
2101025Y0210,Piastra copertura modulo 2,1,MY23 MY24
2101026Y0210,Piastra fissaggio cablaggio,1,MY23 MY24
2101037Y0210,Maniglia pacco batteria,1,MY23 MY24
2101038Y0210,Maniglia lamiera fissaggio,2,MY23 MY24
2101039Y0210,Film riscaldante Y02,1,MY23 MY24
2101040Y0210,Anello tenuta,3,MY
2101041Y0210,Connessione flessibile terminale positivo,1,MY23 MY24
2101042Y0210,Connessione flessibile terminale negativo,1,MY23 MY24
2101043Y0210,Barra rigida in rame terminale negativo,1,MY23 MY24
2101011Y0210,BSU,1,MY23 MY24
2101049Y0210-Z001,Assieme cablaggio rapido,1,MY23 MY24
2101044Y0210,Rivetti plastici foro 3.7 BNJ-0005B,5,MY23 MY24
2101045Y0210,Valvola di sfiato modello VV-P124-00-KS1,1,MY23 MY24
2101055Y0210,Bulloni Dacromet esagonali M6*12 con flangia (con adesivo nylon),3,MY23 MY24
2101056Y0210,Bulloni Dacromet esagonali M5*30 con rondella elastica e rondella piana,4,MY23 MY24
2101057Y0210,Dadi Dacromet esagonali a coppia prevalente con flangia (inserto non metallico),2,MY23 MY24
2101058Y0210,Bulloni Dacromet testa bombata M4*10 con rondella elastica e rondella piana,4,MY23 MY24
2101060Y0210,Bulloni Dacromet esagonali M4*20 con rondella elastica e rondella piana,42,MY23 MY24
2101061Y0210,Bulloni Dacromet testa bombata M3*10 con rondella elastica e rondella piana,4,MY23 MY24
2101064Y0210,Vite svasata testa cilindrica Dacromet nera M4*10,4,MY23 MY24
2101046Y0210,Fascetta rivetto BNJ-0181 foro 5.5,2,MY23 MY24
2103010Y0210,Motore di trazione,1,MY23
S18408004,Bullone esagonale con flangia,3,MY23 MY22 MY22.5 MY24
4002616Y0210,Bullone di fissaggio M6 (filettatura FT),1,MY23 MY24
2103020Y0210,Piastra pressacavo linea di fase,1,MY23
S14606004,Bullone testa esagonale con rondella elastica e rondella piana,2,MY23 MY24
S32006002,Dado esagonale con flangia,2,MY23
2103030Y0210,Cavo di massa,1,MY23
2108010Y0210,Unità di controllo veicolo VBU,1,MY23
2142010Y0210,Controller motore,1,MY23 MY24
2142040Y0210,Cavo di massa MCU,1,MY23
7925040-Y01,T-BOX (4G),1,MY23 MY22 MY22.5
7925040Y0210,T-BOX (4G),1,MY23 MY24
2101100Y0210-Z002,Dispositivo scatola batteria di potenza,1,MY23
2101019Y0210,Cablaggio positivo batteria,1,MY23
210101AY0210,Cablaggio negativo batteria,1,MY23
210101CY0210,Cablaggio comunicazione scatola batteria,1,MY23 MY24
210101H-Y01,Cavo collegamento moduli,2,MY23 MY22 MY22.5 MY24
210101B-Y01,Fast-plug scatola batteria,3,MY23 MY22 MY22.5 MY24
2101013Y0210,Boccola anti?attrito,6,MY23 MY24
2109010Y0210,Assieme scatola alta tensione,1,MY23
2109011Y0210,Assieme involucro scatola alta tensione,1,MY23
2109015Y0210,Relè 150A,1,MY23
2109016Y0210,Relè 60A,1,MY23
2109017-Y01,Relè 20A,3,MY23 MY22 MY22.5 MY24
2109211Y0210,Relè 40A,1,MY23
2109018-Y01,Fusibile ritardato 300A,1,MY23 MY22 MY22.5
2109111-Y01,Fusibile ritardato 20A,1,MY23 MY22 MY22.5
2109112-Y01,Resistenza di pre?carica 75??100W,1,MY23 MY22 MY22.5
2109113Y0210,Cablaggio comunicazione scatola alta tensione,1,MY23
2109119-Y01,Fusibile ritardato 50A,2,MY23 MY22 MY22.5
S14606005,Bullone M6 con rondella elastica e rondella piana,4,MY23 MY22 MY22.5
2101054Y0210,Cartello avviso alta tensione,1,MY23 MY24
2109119Y0205,Divisore,1,MY23 MY22.5
2101012Y0210,Scatola acquisizione alta tensione,1,MY23 MY24
2105010Y0210,Cablaggio positivo controller motore,1,MY23 MY24
2105020Y0210,Cablaggio negativo controller motore,1,MY23 MY24
2105030Y0210,Cablaggio alta tensione sistema ausiliario,1,MY23
2105060-Y01,Clip doppia testa tubo (19mm),4,MY23 MY22 MY22.5 MY24
2105050Y0210,Cablaggio commutazione interruttore power?off,1,MY23
2107060Y0200,Assieme OBC + DCDC due?in?uno,1,MY23 MY22.5
S18408006,Bullone esagonale con flangia,1,MY23 MY22.5 MY24
S18608002,Bullone esagonale con flangia,2,MY23 MY22 MY22.5
2107070Y0200,Staffa collegamento OBC + DCDC due?in?uno,1,MY23 MY22.5
2107020Y0210,Presa di ricarica (EN),1,MY23
2107030-Y01,Caricatore EV (EN),1,MY23 MY22 MY22.5 MY24
2107040-Y01,Caricatore doppia testa (EN),1,MY23 MY22 MY22.5 MY24
2107050-Y01,Borsa pistola di ricarica,1,MY23 MY22 MY22.5 MY24
3601010Y0210,Modulo controllo carrozzeria (BCM),1,MY23
Q1860620,Bullone esagonale con flangia,3,MY23 MY22 MY22.5
3704010Y0210,Interruttore avvio passivo,1,MY23 MY24
3791020Y0210,Interruttore PE (con antenna),1,MY23 MY24
3601030Y0210,Antenna avvio,1,MY23 MY24
S27348002,Vite autofilettante testa larga tonda a croce 4.8×16,2,MY23 MY22 MY22.5 MY24
ZH1210,Supporto dado plastico,2,MY23 MY22 MY22.5 MY24
3791011Y0210,Chip telecomando,2,MY23
3703010-Y01,Batteria 12V,1,MY23 MY22 MY22.5
3721010Y0210,Clacson alta tonalità,1,MY23
3721020Y0210,Allarme bassa velocità (AVAS),1,MY23
S14606003,Bullone con rondella elastica e rondella piana,1,MY23 MY24
3736010-Y01,Interruttore power?off,1,MY23 MY22 MY22.5
3736011-Y01,Protezione interruttore power?off,1,MY23 MY22
3746010-Y01,Interruttore alzacristalli,2,MY23 MY22 MY22.5
3766010-Y01,Interruttore avviso,1,MY23 MY22 MY22.5
3774010Y0210,Assieme interruttore combinato,1,MY23
S23004001,Vite testa tonda a croce,2,MY23 MY22 MY22.5 MY24
3778010Y0200,Blocco volante,1,MY23 MY22.5 MY24
3781010Y0210,Interruttore marce,1,MY23 MY22.5
3782010-Y01,Interruttore regolazione specchio retrovisore elettrico,1,MY23 MY22 MY22.5 MY24
3790020-Y01,Interruttore apertura portellone,1,MY23 MY22 MY22.5 MY24
3790040Y0210,Assieme porta mobile paraurti posteriore,1,MY23 MY24
3504102Y0210,Interruttore freno,1,MY23 MY24
3504102-Y01,Interruttore freno,1,MY23 MY22 MY22.5
3736020Y0200,Protezione interruttore power?off,1,MY23
3790010Y0210,Cilindro serratura porta sinistra,1,MY23
3790030-Y01,Seeger cilindro serratura porta sinistra,1,MY23 MY22 MY22.5 MY24
3791010Y0210,Guscio chiave telecomando,2,MY23
3791012Y0210,Elemento ingranaggio chiave,1,MY23
3791001Y0210,Assieme chiave telecomando,2,MY23 MY24
3790010Y0210-Z001,Cilindro serratura porta sinistra,1,MY23 MY24
4002010Y0210,Cablaggio vano anteriore,1,MY23
4002020Y0210,Cablaggio tetto (versione Hall),1,MY23
4002030Y0210,Cablaggio porta sinistra (versione Hall),1,MY23
4002040Y0210,Cablaggio porta destra (versione Hall),1,MY23
4003010Y0210,Cablaggio principale,1,MY23
4003020Y0210,Cablaggio cruscotto ausiliario,1,MY23
4013010Y0200,Cablaggio portellone (versione Hall),1,MY23 MY22 MY22.5
4013020Y0210,Cablaggio paraurti posteriore,1,MY23
4014010Y0210,Cablaggio serratura scatola batteria,1,MY23 MY24
4002011Y0210,Cablaggio negativo,1,MY23
4002816Y0210,Bullone fissaggio M8 (filettatura FT),1,MY23
3820010Y0200,Schermo centrale (7 pollici),1,MY23
S18406001,Bullone esagonale con flangia,2,MY23 MY24
7911010Y0205,Altoparlante,2,MY23
7925020-Y01,USB cruscotto ausiliario,1,MY23 MY22 MY22.5
7925030Y0200,USB cruscotto,1,MY23
3820011Y0200,Supporto telefono,1,MY23
5205010Y0200,Motore tergicristallo,1,MY23 MY22.5 MY24
5205020Y0200,Braccio tergicristallo (con tubo ugello),1,MY23 MY22 MY22.5 MY24
5205030Y0200,Lama tergicristallo,1,MY23 MY22 MY22.5 MY24
5205040Y0200,Cappuccio dado tergicristallo anteriore,1,MY23 MY22 MY22.5 MY24
5207010-Y01,Assieme vaschetta lavavetri (con tubo acqua),1,MY23 MY22 MY22.5
5207020Y0200,Assieme tubo biforcazione,1,MY23 MY22 MY22.5 MY24
8103010Y0205,Assieme compressore elettrico,1,MY23 MY22.5
S14608001,Bullone M8 con rondella elastica e rondella piana,2,MY23 MY22.5
8103011Y0210,Assieme staffa compressore elettrico,1,MY23
8105010Y0210,Assieme condensatore,1,MY23 MY24
8105011Y0210,Assieme ventola elettronica,1,MY23 MY24
8107010Y0210,Assieme HVAC,1,MY23 MY24
8108010Y0210,Tubo aspirazione compressore (EU filler),1,MY23
S14606002,Bullone M6 con rondella elastica e rondella piana,1,MY23 MY22 MY22.5 MY24
8108020Y0210,Tubo scarico compressore,1,MY23
8108030Y0210,Tubo ingresso fluido serbatoio evaporazione,1,MY23
8112010Y0210,Assieme pannello controllo climatizzatore,1,MY23
S27342003,Vite autofilettante testa larga semitonda a croce 4.2×13,18,MY23 MY22 MY22.5 MY24
5306104Y0210,Condotto aria uscita centrale,1,MY23 MY24
5306030Y0210,Assieme sbrinatore anteriore,1,MY23 MY24
5306136Y0210,Condotto sbrinamento sinistro,1,MY23 MY24
5306141Y0210,Condotto sbrinamento destro,1,MY23 MY24
2803013-Y01,Staffa montaggio paraurti anteriore sinistro,1,MY23 MY22 MY22.5
ZH2204-16,Dado a lamella tipo A,6,MY23 MY22 MY22.5 MY24
2803014-Y01,Staffa montaggio paraurti anteriore destro,1,MY23 MY22 MY22.5
2803002Y0210D-KIT,Kit servizio paraurti anteriore,1,MY23 MY24
2803002Y0210D,Corpo paraurti anteriore,1,MY23
Z056,Cuscinetto,3,MY23 MY22 MY22.5 MY24
8402509Y0210,Clip in acciaio,2,MY23
S44003001,Rivetto cieco a mandrino testa a fungo,2,MY23
S40203001,Rondella grande,2,MY23
2803009-Y01D,Pannello inferiore rifinitura paraurti anteriore,1,MY23 MY22 MY22.5 MY24
2803007-Y01D,Pannello rifinitura paraurti anteriore,1,MY23 MY22 MY22.5 MY24
2803003-Y01D,Pannello centrale rifinitura paraurti anteriore,1,MY23 MY22 MY22.5 MY24
2803005-Y01D,Striscia rifinitura paraurti anteriore,1,MY23 MY22 MY22.5 MY24
2803019-Y01,Pannello deflettore aria paraurti anteriore,1,MY23 MY22 MY22.5
6102051-Y01,Spugna antipolvere,2,MY23 MY22 MY22.5 MY24
2803017-Y01,Piastra montaggio targa anteriore,1,MY23 MY22 MY22.5
ZH2204-6,Dado a lamella tipo B,4,MY23 MY22 MY22.5 MY24
S27348003,Vite autofilettante testa larga semitonda a croce,4,MY23 MY24
2803011-Y01D,Pannello inferiore luce combinata anteriore sinistra,1,MY23 MY22 MY22.5 MY24
2803012-Y01D,Pannello inferiore luce combinata anteriore destra,1,MY23 MY22 MY22.5 MY24
2804201Y0210,Cerniera paraurti posteriore sinistra,1,MY23 MY24
2804202Y0210,Cerniera paraurti anteriore destra,1,MY23 MY24
S18408002,Bullone testa esagonale con flangia,4,MY23 MY22 MY22.5 MY24
2804508-Y01,Staffa montaggio paraurti posteriore sinistro,1,MY23 MY22 MY22.5
ZH2204-11,Dado a lamella tipo B con dado M8,2,MY23 MY22 MY22.5
2804509-Y01,Staffa montaggio paraurti posteriore destro e sinistro,1,MY23 MY22 MY22.5
2804510Y0210D,Assieme corpo paraurti posteriore,1,MY23 MY22 MY22.5
2804501Y0210D,Corpo paraurti posteriore,1,MY23 MY22 MY22.5
2804504-Y01D,Rifinitura superiore paraurti posteriore,1,MY23 MY22 MY22.5
2804505-Y01D,Rifinitura inferiore paraurti posteriore,1,MY23 MY22 MY22.5
Z024,Dado di espansione metallico,4,MY23 MY22 MY22.5
5107003-Y01,Tampone porta laterale,4,MY23 MY22 MY22.5 MY24
2804521Y0210D,Assieme saldatura porta scorrevole paraurti posteriore,1,MY23 MY24
2804901Y0210,Blocco guida scorrimento,2,MY23 MY24
3102111-Y01,Parafango anteriore sinistro,1,MY23 MY22 MY22.5
ZH830,Fermaglio a scatto (testa piccola),14,MY23 MY22 MY22.5 MY24
ZH890,Fermaglio a scatto (testa grande),10,MY23 MY22 MY24
Q2214816,Vite autofilettante testa a croce con rondella piana,12,MY23 MY22 MY22.5
Z058,Fermaglio a perno,10,MY23 MY22 MY22.5 MY24
3102112-Y01,Parafango anteriore destro,1,MY23 MY22 MY22.5
3102113-Y01,Parafango posteriore sinistro,1,MY23 MY22 MY22.5
3102117-Y01,Pannello laterale parafango posteriore sinistro,1,MY23 MY22 MY22.5
3102114-Y01,Parafango posteriore destro,1,MY23 MY22 MY22.5
3102118-Y01,Pannello laterale parafango posteriore destro,1,MY23 MY22 MY22.5
5107101Y0210,Parafango inferiore sinistro,1,MY23 MY22 MY22.5
5107102-Y01,Parafango inferiore destro,1,MY23 MY22 MY22.5
5107103Y0210,Parafango inferiore centrale,1,MY23 MY22 MY22.5
5206010-Y01,Vetro parabrezza anteriore,1,MY23 MY22 MY22.5
5206030-Y01,Vetro tetto sinistro,1,MY23 MY22 MY22.5
5206040-Y01,Vetro tetto destro,1,MY23 MY22 MY22.5
6303010-Y01,Vetro parabrezza posteriore,1,MY23 MY22 MY22.5
5603100Y0210,Vetro parabrezza posteriore,1,MY23 MY22
5203010-Y01,Vetro triangolare anteriore sinistro,1,MY23 MY22 MY22.5 MY24
5203020-Y01,Vetro triangolare anteriore destro,1,MY23 MY22 MY22.5 MY24
6103010-Y01,Vetro porta sinistra,1,MY23 MY22 MY22.5
6103020-Y01,Vetro porta destra,1,MY23 MY22 MY22.5
5302020-Y01,Piastra copri tergicristallo anteriore,1,MY23 MY22 MY22.5
5302003Y0210,Corpo canalina flusso anteriore,1,MY23 MY22.5
5302007-Y01D,Pannello superiore luce combinata anteriore sinistra,1,MY23 MY22 MY22.5
5302008-Y01D,Pannello superiore luce combinata anteriore destra,1,MY23 MY22 MY22.5
5302011Y0210D,Piastra copertura porta di ricarica anteriore,1,MY23 MY24
5302032Y0210,Piastra interna porta di ricarica anteriore,1,MY23 MY24
5302031Y0210,Base porta di ricarica anteriore,1,MY23 MY24
5302033Y0210,Perno rotante porta di ricarica anteriore,1,MY23 MY24
5302035Y0210,Cuscinetto copertura porta di ricarica anteriore,1,MY23
5302034Y0210,Molla,1,MY23 MY24
5306155-Y01,Targhetta veicolo completa,1,MY23 MY22 MY22.5
5306156-Y01,Logo X,1,MY23 MY22 MY22.5 MY24
5306157-Y01,Logo YOYO,1,MY23 MY22 MY22.5 MY24
5306010Y0220,Logo XEV,1,MY23 MY22 MY22.5 MY24
5400100Y0210D,Pannello rifinitura superiore sinistro parete anteriore,1,MY23
ZH1255,Fibbia a D,17,MY23 MY22 MY22.5 MY24
5400300Y0210D,Pannello rifinitura superiore sinistro parete posteriore,1,MY23
5400500-Y01D,Piccolo pannello rifinitura sinistro,1,MY23 MY22 MY22.5
ZH680,Fermaglio metallico a V,3,MY23 MY22 MY22.5 MY24
5400101-Y01D,Piastra ruota posteriore sinistra,1,MY23 MY22 MY22.5 MY24
5400771-Y01D,Soglia inferiore sinistra,1,MY23 MY22 MY22.5
S22148002,Vite autofilettante testa a croce con rondella piana,4,MY23 MY24
5400200Y0210D,Pannello rifinitura superiore destro parete anteriore,1,MY23
5400400Y0210D,Pannello rifinitura superiore destro parete posteriore,1,MY23
5400600-Y01D,Piccolo pannello rifinitura destro,1,MY23 MY22 MY22.5
5400201-Y01D,Piastra ruota posteriore destra,1,MY23 MY22 MY22.5 MY24
5400781-Y01D,Soglia inferiore destra,1,MY23 MY22 MY22.5
5702020-Y01D,Assieme copertura tetto,1,MY23 MY22 MY22.5
5702018-Y01,Guarnizione impermeabile tetto,7,MY23
5702013-Y01,Guarnizione impermeabile tetto in spugna (W12 T8),5,MY23 MY22 MY22.5
6102071Y0210,Pannello rifinitura finestrino anteriore sinistro,1,MY23 MY24
S27342004,Vite autofilettante testa larga semitonda a croce,4,MY23 MY22 MY22.5 MY24
6102075Y0210D,Pannello esterno porta sinistra,1,MY23
6102052Y0210,Bullone montaggio pannello porta esterna,3,MY23
S23006002,Vite testa a croce con rondella elastica e rondella piana,7,MY23 MY22 MY22.5 MY24
6102077-Y01D,Pannello inferiore porta sinistra,1,MY23 MY22 MY22.5 MY24
5306148Y0210,Nastro biadesivo (W10mm T0.8mm),1,MY23 MY22 MY22.5 MY24
6102073Y0210D,Pannello superiore porta sinistra,1,MY23
6102079Y0210,Piastra montaggio interruttore PE,1,MY23
6102081Y0210,Pannello rifinitura finestrino anteriore destro,1,MY23 MY24
6102076Y0210D,Pannello esterno porta destra,1,MY23
6102078-Y01D,Pannello inferiore porta destra,1,MY23 MY22 MY22.5 MY24
6102074-Y01D,Pannello superiore porta destra,1,MY23 MY22 MY22.5
8200151Y0210,Pedana di benvenuto sinistra,1,MY23 MY22 MY22.5 MY24
8200152Y0210,Pedana di benvenuto destra,1,MY23 MY22 MY22.5 MY24
8402110Y0240D,Assieme saldatura cofano anteriore,1,MY23 MY24
8402505Y0210,Manopola cofano anteriore sinistra,1,MY23 MY24
